location,area_type,availability_status,total_sqft,bhk,bath,balcony,price,sqft_per_bhk,bath_per_bhk
Electronic City Phase II,Super built-up Area,Under Construction,1056.0,2.0,2.0,1.0,3907000.0,528.0,1.0
Chikka Tirupathi,Plot Area,Ready To Move,2600.0,4.0,5.0,3.0,12000000.0,650.0,1.25
Uttarahalli,Built-up Area,Ready To Move,1440.0,3.0,2.0,3.0,6200000.0,480.0,0.6666666666666666
Lingadheeranahalli,Super built-up Area,Ready To Move,1521.0,3.0,3.0,1.0,9500000.0,507.0,1.0
Kothanur,Super built-up Area,Ready To Move,1200.0,2.0,2.0,1.0,5100000.0,600.0,1.0
Whitefield,Super built-up Area,Ready To Move,1170.0,2.0,2.0,1.0,3800000.0,585.0,1.0
Old Airport Road,Super built-up Area,Under Construction,2732.0,4.0,4.0,0.0,20400000.0,683.0,1.0
Marathahalli,Super built-up Area,Ready To Move,1310.0,3.0,3.0,1.0,6325000.0,436.6666666666667,1.0
Whitefield,Super built-up Area,Under Construction,1800.0,3.0,2.0,2.0,7000000.0,600.0,0.6666666666666666
Gottigere,Built-up Area,Ready To Move,1100.0,2.0,2.0,2.0,4000000.0,550.0,1.0
Sarjapur,Plot Area,Ready To Move,2250.0,3.0,3.0,2.0,14800000.0,750.0,1.0
Mysore Road,Super built-up Area,Ready To Move,1175.0,2.0,2.0,2.0,7350000.0,587.5,1.0
Bisuvanahalli,Super built-up Area,Ready To Move,1180.0,3.0,3.0,2.0,4800000.0,393.3333333333333,1.0
Raja Rajeshwari Nagar,Super built-up Area,Ready To Move,1540.0,3.0,3.0,3.0,6000000.0,513.3333333333334,1.0
other,Super built-up Area,Ready To Move,2770.0,3.0,4.0,2.0,29000000.0,923.3333333333334,1.3333333333333333
other,Super built-up Area,Ready To Move,1100.0,2.0,2.0,2.0,4800000.0,550.0,1.0
Binny Pete,Super built-up Area,Under Construction,1755.0,3.0,3.0,1.0,12200000.0,585.0,1.0
Bellandur,Super built-up Area,Ready To Move,1767.0,3.0,3.0,1.0,10300000.0,589.0,1.0
Thanisandra,Super built-up Area,Under Construction,510.0,1.0,1.0,0.0,2525000.0,510.0,1.0
other,Super built-up Area,Under Construction,1250.0,3.0,3.0,2.0,5600000.0,416.6666666666667,1.0
Electronic City,Super built-up Area,Ready To Move,660.0,2.0,1.0,1.0,2310000.0,330.0,0.5
Whitefield,Built-up Area,Under Construction,1610.0,3.0,3.0,2.0,8100000.0,536.6666666666666,1.0
Ramagondanahalli,Super built-up Area,Under Construction,1151.0,2.0,2.0,2.0,4877000.0,575.5,1.0
Electronic City,Super built-up Area,Ready To Move,1025.0,3.0,2.0,1.0,4700000.0,341.6666666666667,0.6666666666666666
Bisuvanahalli,Super built-up Area,Ready To Move,1075.0,3.0,2.0,1.0,3500000.0,358.3333333333333,0.6666666666666666
Hebbal,Super built-up Area,Ready To Move,1760.0,3.0,2.0,2.0,12300000.0,586.6666666666666,0.6666666666666666
Raja Rajeshwari Nagar,Super built-up Area,Ready To Move,1693.0,3.0,3.0,3.0,5739000.0,564.3333333333334,1.0
Kasturi Nagar,Built-up Area,Ready To Move,1925.0,3.0,3.0,0.0,12500000.0,641.6666666666666,1.0
Kanakpura Road,Super built-up Area,Under Construction,700.0,2.0,2.0,1.0,3600000.0,350.0,1.0
Electronics City Phase 1,Super built-up Area,Ready To Move,1070.0,2.0,2.0,1.0,4550000.0,535.0,1.0
Kundalahalli,Super built-up Area,Ready To Move,1724.0,3.0,3.0,2.0,12500000.0,574.6666666666666,1.0
Chikkalasandra,Super built-up Area,Ready To Move,1290.0,3.0,2.0,2.0,5612000.0,430.0,0.6666666666666666
Uttarahalli,Built-up Area,Ready To Move,1143.0,2.0,2.0,2.0,4500000.0,571.5,1.0
Murugeshpalya,Built-up Area,Ready To Move,1296.0,2.0,2.0,0.0,8100000.0,648.0,1.0
other,Super built-up Area,Ready To Move,600.0,1.0,1.0,0.0,3800000.0,600.0,1.0
Doddathoguru,Super built-up Area,Ready To Move,970.0,2.0,2.0,0.0,3300000.0,485.0,1.0
Whitefield,Super built-up Area,Under Construction,1459.0,2.0,2.0,1.0,9482000.0,729.5,1.0
other,Built-up Area,Ready To Move,869.0,2.0,2.0,1.0,3600000.0,434.5,1.0
other,Super built-up Area,Ready To Move,1270.0,2.0,2.0,1.0,5000000.0,635.0,1.0
Bhoganhalli,Super built-up Area,Under Construction,1670.0,3.0,3.0,1.0,9900000.0,556.6666666666666,1.0
Whitefield,Built-up Area,Ready To Move,2010.0,3.0,3.0,2.0,9100000.0,670.0,1.0
Lakshminarayana Pura,Super built-up Area,Ready To Move,1185.0,2.0,2.0,2.0,7500000.0,592.5,1.0
Yelahanka,Super built-up Area,Ready To Move,1600.0,3.0,2.0,3.0,7500000.0,533.3333333333334,0.6666666666666666
Begur Road,Super built-up Area,Ready To Move,1200.0,2.0,2.0,2.0,4400000.0,600.0,1.0
other,Super built-up Area,Ready To Move,1500.0,2.0,2.0,2.0,18500000.0,750.0,1.0
other,Super built-up Area,Ready To Move,840.0,2.0,2.0,2.0,4500000.0,420.0,1.0
other,Plot Area,Ready To Move,4395.0,3.0,3.0,2.0,24000000.0,1465.0,1.0
other,Super built-up Area,Ready To Move,845.0,2.0,2.0,1.0,5500000.0,422.5,1.0
Varthur,Built-up Area,Ready To Move,1160.0,2.0,2.0,2.0,4400000.0,580.0,1.0
Bommanahalli,Built-up Area,Ready To Move,3000.0,8.0,8.0,0.0,14000000.0,375.0,1.0
Gunjur,Super built-up Area,Under Construction,1140.0,2.0,2.0,3.0,4300000.0,570.0,1.0
Marathahalli,Super built-up Area,Ready To Move,1220.0,2.0,2.0,1.0,5700000.0,610.0,1.0
Hegde Nagar,Super built-up Area,Ready To Move,1569.0,3.0,3.0,1.0,10100000.0,523.0,1.0
Haralur Road,Super built-up Area,Under Construction,1240.0,2.0,2.0,1.0,7000000.0,620.0,1.0
Hennur Road,Super built-up Area,Ready To Move,2089.0,3.0,3.0,2.0,14000000.0,696.3333333333334,1.0
Kothannur,Super built-up Area,Ready To Move,1206.0,2.0,2.0,1.0,4823000.0,603.0,1.0
other,Built-up Area,Ready To Move,2511.0,3.0,3.0,3.0,20500000.0,837.0,1.0
other,Built-up Area,Ready To Move,4400.0,6.0,6.0,3.0,25000000.0,733.3333333333334,1.0
other,Super built-up Area,Ready To Move,1660.0,3.0,2.0,2.0,10500000.0,553.3333333333334,0.6666666666666666
Yelahanka,Super built-up Area,Under Construction,1326.0,2.0,2.0,2.0,7800000.0,663.0,1.0
Garudachar Palya,Super built-up Area,Ready To Move,1325.0,3.0,2.0,2.0,6080000.0,441.6666666666667,0.6666666666666666
EPIP Zone,Super built-up Area,Ready To Move,1499.0,3.0,5.0,2.0,10200000.0,499.6666666666667,1.6666666666666667
Hegde Nagar,Built-up Area,Ready To Move,3000.0,6.0,7.0,2.0,21000000.0,500.0,1.1666666666666667
Kanakpura Road,Super built-up Area,Ready To Move,1665.0,3.0,3.0,2.0,8800000.0,555.0,1.0
Dasanapura,Super built-up Area,Under Construction,708.0,2.0,2.0,2.0,3700000.0,354.0,1.0
Kasavanhalli,Super built-up Area,Ready To Move,1060.0,2.0,2.0,2.0,5806000.0,530.0,1.0
Sanjay nagar,Built-up Area,Ready To Move,1000.0,2.0,2.0,2.0,7000000.0,500.0,1.0
Electronic City,Super built-up Area,Under Construction,1000.0,2.0,2.0,1.0,2888000.0,500.0,1.0
other,Super built-up Area,Ready To Move,1450.0,3.0,2.0,2.0,7000000.0,483.3333333333333,0.6666666666666666
other,Plot Area,Ready To Move,1200.0,4.0,4.0,2.0,15500000.0,300.0,1.0
Thanisandra,Super built-up Area,Under Construction,1296.0,2.0,2.0,3.0,8000000.0,648.0,1.0
Domlur,Super built-up Area,Ready To Move,1540.0,3.0,3.0,2.0,9000000.0,513.3333333333334,1.0
Sarjapura - Attibele Road,Super built-up Area,Ready To Move,1330.0,3.0,2.0,1.0,4800000.0,443.3333333333333,0.6666666666666666
other,Built-up Area,Ready To Move,1200.0,2.0,2.0,1.0,6500000.0,600.0,1.0
other,Built-up Area,Ready To Move,1200.0,3.0,3.0,1.0,9000000.0,400.0,1.0
Yeshwanthpur,Super built-up Area,Ready To Move,2502.0,3.0,3.0,3.0,13800000.0,834.0,1.0
Chandapura,Built-up Area,Ready To Move,650.0,2.0,1.0,1.0,1700000.0,325.0,0.5
Kothanur,Plot Area,Ready To Move,2400.0,3.0,2.0,1.0,15000000.0,800.0,0.6666666666666666
other,Super built-up Area,Ready To Move,1007.0,2.0,2.0,2.0,4300000.0,503.5,1.0
other,Super built-up Area,Ready To Move,1200.0,2.0,2.0,2.0,5000000.0,600.0,1.0
other,Super built-up Area,Ready To Move,966.0,2.0,2.0,2.0,4990000.0,483.0,1.0
Nagarbhavi,Built-up Area,Ready To Move,1630.0,3.0,2.0,1.0,9800000.0,543.3333333333334,0.6666666666666666
Rajaji Nagar,Built-up Area,Ready To Move,1640.0,3.0,3.0,2.0,22900000.0,546.6666666666666,1.0
other,Built-up Area,Ready To Move,782.0,2.0,2.0,2.0,5568000.0,391.0,1.0
Devanahalli,Super built-up Area,Under Construction,1260.0,2.0,2.0,2.0,6678000.0,630.0,1.0
other,Super built-up Area,Ready To Move,1800.0,3.0,3.0,3.0,12000000.0,600.0,1.0
other,Super built-up Area,Ready To Move,1413.0,3.0,2.0,2.0,7500000.0,471.0,0.6666666666666666
Whitefield,Super built-up Area,Ready To Move,1116.0,2.0,2.0,1.0,5191000.0,558.0,1.0
Electronic City,Super built-up Area,Ready To Move,1530.0,3.0,2.0,1.0,4590000.0,510.0,0.6666666666666666
Ramamurthy Nagar,Built-up Area,Ready To Move,3700.0,4.0,4.0,1.0,22500000.0,925.0,1.0
Sarjapur  Road,Built-up Area,Ready To Move,2497.0,3.0,3.0,2.0,14000000.0,832.3333333333334,1.0
Kengeri,Super built-up Area,Ready To Move,1540.0,3.0,2.0,3.0,6400000.0,513.3333333333334,0.6666666666666666
Thanisandra,Super built-up Area,Under Construction,1436.0,3.0,3.0,1.0,7475000.0,478.6666666666667,1.0
Hebbal,Super built-up Area,Under Construction,5611.5,4.0,4.0,0.0,47700000.0,1402.875,1.0
other,Built-up Area,Ready To Move,2650.0,4.0,4.0,2.0,15000000.0,662.5,1.0
Devanahalli,Super built-up Area,Under Construction,1282.0,3.0,2.0,2.0,6852000.0,427.3333333333333,0.6666666666666666
LB Shastri Nagar,Built-up Area,Ready To Move,1600.0,3.0,3.0,2.0,6500000.0,533.3333333333334,1.0
other,Super built-up Area,Under Construction,945.0,2.0,2.0,1.0,5400000.0,472.5,1.0
Hormavu,Super built-up Area,Ready To Move,1500.0,2.0,2.0,1.0,7800000.0,750.0,1.0
other,Built-up Area,Ready To Move,1870.0,3.0,3.0,3.0,11000000.0,623.3333333333334,1.0
Sarjapur,Plot Area,Ready To Move,1600.0,3.0,3.0,1.0,7500000.0,533.3333333333334,1.0
Kudlu Gate,Super built-up Area,Ready To Move,1535.0,3.0,3.0,2.0,8300000.0,511.6666666666667,1.0
Kanakpura Road,Built-up Area,Ready To Move,950.0,2.0,2.0,1.0,5700000.0,475.0,1.0
Devanahalli,Super built-up Area,Under Construction,1360.0,2.0,2.0,1.0,6500000.0,680.0,1.0
8th Phase JP Nagar,Super built-up Area,Under Construction,1073.5,2.0,2.0,0.0,5400500.0,536.75,1.0
other,Super built-up Area,Under Construction,1260.0,3.0,2.0,2.0,8505000.0,420.0,0.6666666666666666
