city,locality,property_type,area_sqft,bhk,bathrooms,floor_no,total_floors,age_years,furnishing,parking,gym,pool,security,schools_score,hospitals_score,price
Mumbai,Chembur,Apartment,2368.3,3,2,4,18,3,Furnished,1,0,0,0,9.41,1.9,45191000
Pune,Kalyani Nagar,Apartment,2118.6,3,2,2,4,1,Furnished,2,1,1,0,10.0,6.67,42611000
Mumbai,Chembur,Apartment,2241.1,4,4,1,12,3,Semi-Furnished,0,0,0,0,7.84,6.6,60078000
Nagpur,Hingna,Plot,1679.3,0,0,0,0,0,Unfurnished,0,0,0,0,9.74,4.63,3813000
Nagpur,Hingna,Apartment,1083.4,3,2,4,7,10,Semi-Furnished,1,0,0,0,8.44,7.03,5243000
Nagpur,Dharampeth,Apartment,2031.6,3,3,0,5,7,Unfurnished,2,0,0,1,8.8,3.32,15592000
Pune,Hadapsar,Apartment,2198.0,3,3,8,13,5,Semi-Furnished,2,0,0,1,8.93,5.29,19926000
Pune,Wagholi,Villa,2175.3,4,4,8,17,1,Unfurnished,2,0,1,1,5.89,5.97,17095000
Pune,Wagholi,Apartment,1046.8,2,1,0,11,5,Unfurnished,2,0,0,0,10.0,5.05,6428000
Pune,Koregaon Park,Apartment,2265.0,3,3,5,8,3,Unfurnished,1,1,0,0,5.24,7.6,37189000
Mumbai,Chembur,Apartment,1285.8,3,2,1,7,10,Unfurnished,1,1,1,1,5.61,4.73,27296000
Pune,Kothrud,Apartment,1608.5,3,2,3,6,8,Unfurnished,1,0,0,1,7.08,8.81,17335000
Pune,Wakad,Apartment,1346.1,2,1,7,10,2,Semi-Furnished,1,1,0,1,6.67,7.79,17571000
Mumbai,Mira Road,Plot,1196.6,0,0,0,0,0,Unfurnished,0,0,0,0,5.67,8.15,10539000
Nagpur,Civil Lines,Apartment,1866.3,3,3,3,16,2,Semi-Furnished,2,1,0,1,5.59,4.09,14174000
Pune,Wagholi,Plot,2248.7,0,0,0,0,0,Unfurnished,1,0,0,0,7.94,7.53,10520000
Pune,Wagholi,Apartment,562.5,1,1,5,6,2,Furnished,0,0,0,0,4.02,4.23,3727000
Mumbai,Goregaon,Plot,1125.4,0,0,0,0,0,Unfurnished,0,0,0,0,7.47,3.61,16093000
Mumbai,Mira Road,Apartment,1228.1,2,1,2,12,3,Furnished,1,1,0,1,5.77,8.9,19514000
Nagpur,Wardha Road,Apartment,881.8,2,1,4,10,17,Furnished,1,0,1,1,7.66,5.03,5269000
Mumbai,Mira Road,Apartment,1122.8,2,1,3,20,6,Furnished,0,0,0,0,7.3,8.38,16400000
Mumbai,Goregaon,Villa,2222.3,4,4,11,15,6,Semi-Furnished,0,0,0,1,6.87,6.5,67116000
Nagpur,Civil Lines,Apartment,1871.0,3,3,7,8,18,Semi-Furnished,2,0,0,0,5.72,5.46,19871000
Nagpur,Wardha Road,Villa,1095.7,3,2,3,13,6,Furnished,1,0,1,1,7.3,5.8,8510000
Mumbai,Andheri West,Apartment,1990.6,4,3,6,16,3,Furnished,1,1,0,1,7.83,6.69,68548000
Pune,Baner,Apartment,1642.2,3,2,4,5,1,Semi-Furnished,1,0,0,1,6.29,8.1,21239000
Nagpur,Besa,Apartment,1344.7,3,2,11,12,23,Unfurnished,2,0,0,0,6.83,10.0,5125000
Nagpur,Dharampeth,Apartment,2037.7,4,4,0,5,11,Unfurnished,1,1,0,1,8.49,6.46,11867000
Mumbai,Chembur,Apartment,1316.7,3,2,8,21,0,Semi-Furnished,1,0,0,1,7.6,7.56,33960000
Nagpur,Ramdaspeth,Apartment,1873.4,3,3,2,7,3,Semi-Furnished,1,0,0,0,5.36,6.68,16702000
Pune,Hinjewadi,Apartment,3467.0,5,5,0,1,0,Unfurnished,1,0,0,0,7.32,5.56,31766000
Nagpur,Manish Nagar,Apartment,1177.2,2,1,1,9,1,Furnished,1,0,0,1,10.0,6.16,8477000
