city,locality,property_type,area_sqft,bhk,bathrooms,floor_no,total_floors,age_years,furnishing,parking,gym,pool,security,schools_score,hospitals_score,price,floor_ratio,bath_per_bhk,area_per_bhk,rooms_total,amenities_count,is_ground_floor,age_bucket
Mumbai,Chembur,Apartment,2368.3,3,2,4,18,3,Furnished,1,0,0,0,9.41,1.9,45191000,0.2222222222222222,0.6666666666666666,789.4333333333334,5,1,0,Recent
Pune,Kalyani Nagar,Apartment,2118.6,3,2,2,4,1,Furnished,2,1,1,0,10.0,6.67,42611000,0.5,0.6666666666666666,706.1999999999999,5,3,0,New
Mumbai,Chembur,Apartment,2241.1,4,4,1,12,3,Semi-Furnished,0,0,0,0,7.84,6.6,60078000,0.08333333333333333,1.0,560.275,8,0,0,Recent
Nagpur,Hingna,Plot,1679.3,0,0,0,0,0,Unfurnished,0,0,0,0,9.74,4.63,3813000,0.0,0.0,1679.3,0,0,1,New
Nagpur,Hingna,Apartment,1083.4,3,2,4,7,10,Semi-Furnished,1,0,0,0,8.44,7.03,5243000,0.5714285714285714,0.6666666666666666,361.1333333333334,5,1,0,Established
Nagpur,Dharampeth,Apartment,2031.6,3,3,0,5,7,Unfurnished,2,0,0,1,8.8,3.32,15592000,0.0,1.0,677.1999999999999,6,2,1,Recent
Pune,Hadapsar,Apartment,2198.0,3,3,8,13,5,Semi-Furnished,2,0,0,1,8.93,5.29,19926000,0.6153846153846154,1.0,732.6666666666666,6,2,0,Recent
Pune,Wagholi,Villa,2175.3,4,4,8,17,1,Unfurnished,2,0,1,1,5.89,5.97,17095000,0.47058823529411764,1.0,543.825,8,3,0,New
Pune,Wagholi,Apartment,1046.8,2,1,0,11,5,Unfurnished,2,0,0,0,10.0,5.05,6428000,0.0,0.5,523.4,3,1,1,Recent
Pune,Koregaon Park,Apartment,2265.0,3,3,5,8,3,Unfurnished,1,1,0,0,5.24,7.6,37189000,0.625,1.0,755.0,6,2,0,Recent
Mumbai,Chembur,Apartment,1285.8,3,2,1,7,10,Unfurnished,1,1,1,1,5.61,4.73,27296000,0.14285714285714285,0.6666666666666666,428.59999999999997,5,4,0,Established
Pune,Kothrud,Apartment,1608.5,3,2,3,6,8,Unfurnished,1,0,0,1,7.08,8.81,17335000,0.5,0.6666666666666666,536.1666666666666,5,2,0,Established
Pune,Wakad,Apartment,1346.1,2,1,7,10,2,Semi-Furnished,1,1,0,1,6.67,7.79,17571000,0.7,0.5,673.05,3,3,0,New
Mumbai,Mira Road,Plot,1196.6,0,0,0,0,0,Unfurnished,0,0,0,0,5.67,8.15,10539000,0.0,0.0,1196.6,0,0,1,New
Nagpur,Civil Lines,Apartment,1866.3,3,3,3,16,2,Semi-Furnished,2,1,0,1,5.59,4.09,14174000,0.1875,1.0,622.1,6,3,0,New
Pune,Wagholi,Plot,2248.7,0,0,0,0,0,Unfurnished,1,0,0,0,7.94,7.53,10520000,0.0,0.0,2248.7,0,1,1,New
Pune,Wagholi,Apartment,562.5,1,1,5,6,2,Furnished,0,0,0,0,4.02,4.23,3727000,0.8333333333333334,1.0,562.5,2,0,0,New
Mumbai,Goregaon,Plot,1125.4,0,0,0,0,0,Unfurnished,0,0,0,0,7.47,3.61,16093000,0.0,0.0,1125.4,0,0,1,New
Mumbai,Mira Road,Apartment,1228.1,2,1,2,12,3,Furnished,1,1,0,1,5.77,8.9,19514000,0.16666666666666666,0.5,614.05,3,3,0,Recent
Nagpur,Wardha Road,Apartment,881.8,2,1,4,10,17,Furnished,1,0,1,1,7.66,5.03,5269000,0.4,0.5,440.9,3,3,0,Old
Mumbai,Mira Road,Apartment,1122.8,2,1,3,20,6,Furnished,0,0,0,0,7.3,8.38,16400000,0.15,0.5,561.4,3,0,0,Recent
Mumbai,Goregaon,Villa,2222.3,4,4,11,15,6,Semi-Furnished,0,0,0,1,6.87,6.5,67116000,0.7333333333333333,1.0,555.575,8,1,0,Recent
Nagpur,Civil Lines,Apartment,1871.0,3,3,7,8,18,Semi-Furnished,2,0,0,0,5.72,5.46,19871000,0.875,1.0,623.6666666666666,6,1,0,Old
Nagpur,Wardha Road,Villa,1095.7,3,2,3,13,6,Furnished,1,0,1,1,7.3,5.8,8510000,0.23076923076923078,0.6666666666666666,365.23333333333335,5,3,0,Recent
Mumbai,Andheri West,Apartment,1990.6,4,3,6,16,3,Furnished,1,1,0,1,7.83,6.69,68548000,0.375,0.75,497.65,7,3,0,Recent
Pune,Baner,Apartment,1642.2,3,2,4,5,1,Semi-Furnished,1,0,0,1,6.29,8.1,21239000,0.8,0.6666666666666666,547.4,5,2,0,New
Nagpur,Besa,Apartment,1344.7,3,2,11,12,23,Unfurnished,2,0,0,0,6.83,10.0,5125000,0.9166666666666666,0.6666666666666666,448.23333333333335,5,1,0,Old
Nagpur,Dharampeth,Apartment,2037.7,4,4,0,5,11,Unfurnished,1,1,0,1,8.49,6.46,11867000,0.0,1.0,509.425,8,3,1,Established
Mumbai,Chembur,Apartment,1316.7,3,2,8,21,0,Semi-Furnished,1,0,0,1,7.6,7.56,33960000,0.38095238095238093,0.6666666666666666,438.90000000000003,5,2,0,New
Nagpur,Ramdaspeth,Apartment,1873.4,3,3,2,7,3,Semi-Furnished,1,0,0,0,5.36,6.68,16702000,0.2857142857142857,1.0,624.4666666666667,6,1,0,Recent
Pune,Hinjewadi,Apartment,3467.0,5,5,0,1,0,Unfurnished,1,0,0,0,7.32,5.56,31766000,0.0,1.0,693.4,10,1,1,New
Nagpur,Manish Nagar,Apartment,1177.2,2,1,1,9,1,Furnished,1,0,0,1,10.0,6.16,8477000,0.1111111111111111,0.5,588.6,3,2,0,New
Mumbai,Malad,Apartment,1097.5,2,1,0,20,1,Semi-Furnished,1,0,0,1,9.32,4.76,21826000,0.0,0.5,548.75,3,2,1,New
Mumbai,Malad,Apartment,1328.8,2,1,12,12,8,Unfurnished,2,1,1,1,4.31,8.09,23592000,1.0,0.5,664.4,3,4,0,Established
Mumbai,Goregaon,Apartment,1533.4,2,1,11,12,3,Semi-Furnished,1,0,0,1,5.12,3.78,33366000,0.9166666666666666,0.5,766.7,3,2,0,Recent
Mumbai,Andheri West,Apartment,1498.5,3,3,13,19,1,Unfurnished,1,0,0,1,6.06,5.32,55077000,0.6842105263157895,1.0,499.5,6,2,0,New
Nagpur,Besa,Apartment,1129.2,2,1,5,8,0,Semi-Furnished,0,0,0,1,5.17,6.61,6205000,0.625,0.5,564.6,3,1,0,New
Nagpur,Kalmna,Apartment,1221.5,2,2,2,3,11,Furnished,0,0,1,1,5.55,2.73,3662000,0.6666666666666666,1.0,610.75,4,2,0,Established
Pune,Wakad,Villa,1643.1,3,3,6,7,8,Semi-Furnished,1,1,0,0,3.14,5.53,18905000,0.8571428571428571,1.0,547.6999999999999,6,2,0,Established
Pune,Baner,Villa,532.3,1,1,11,13,4,Unfurnished,1,0,0,1,8.64,4.91,7645000,0.8461538461538461,1.0,532.3,2,2,0,Recent
Mumbai,Bandra West,Apartment,1612.3,3,2,7,10,16,Semi-Furnished,1,1,0,0,5.87,4.07,67595000,0.7,0.6666666666666666,537.4333333333333,5,2,0,Old
Nagpur,Wardha Road,Plot,800.0,0,0,0,0,0,Unfurnished,1,0,0,0,5.8,9.25,3557000,0.0,0.0,800.0,0,1,1,New
Pune,Kothrud,Apartment,2457.8,4,3,0,4,2,Furnished,0,0,0,1,2.78,5.66,26512000,0.0,0.75,614.45,7,1,1,New
Pune,Hinjewadi,Apartment,1399.0,2,1,3,8,6,Unfurnished,1,0,0,0,6.62,5.98,11769000,0.375,0.5,699.5,3,1,0,Recent
Pune,Hinjewadi,Villa,1374.5,2,2,9,9,6,Unfurnished,1,0,0,0,9.04,4.25,15544000,1.0,1.0,687.25,4,1,0,Recent
Pune,Kothrud,Apartment,2337.1,4,3,1,5,1,Semi-Furnished,1,1,0,0,5.53,5.48,26570000,0.2,0.75,584.275,7,2,0,New
Pune,Koregaon Park,Apartment,2005.1,3,2,3,13,4,Unfurnished,1,0,0,0,9.65,1.97,27996000,0.23076923076923078,0.6666666666666666,668.3666666666667,5,1,0,Recent
Nagpur,Manish Nagar,Apartment,1985.9,3,2,6,8,0,Unfurnished,0,1,0,0,8.54,7.98,11544000,0.75,0.6666666666666666,661.9666666666667,5,1,0,New
Nagpur,Kalmna,Apartment,463.9,1,1,4,6,4,Semi-Furnished,1,0,0,1,7.33,7.41,1610000,0.6666666666666666,1.0,463.9,2,2,0,Recent
Pune,Wakad,Apartment,955.3,2,1,4,5,8,Unfurnished,0,0,1,1,5.84,9.6,9777000,0.8,0.5,477.65,3,2,0,Established
Mumbai,Malad,Apartment,940.6,1,1,2,3,1,Unfurnished,1,1,0,1,9.31,9.57,23507000,0.6666666666666666,1.0,940.6,2,3,0,New
Nagpur,Besa,Apartment,1697.1,3,2,6,20,4,Unfurnished,0,0,0,1,3.25,5.76,5986000,0.3,0.6666666666666666,565.6999999999999,5,1,0,Recent
Nagpur,Kalmna,Apartment,1083.5,2,2,1,1,16,Semi-Furnished,1,0,0,1,3.67,5.72,3155000,1.0,1.0,541.75,4,2,0,Old
Mumbai,Panvel,Apartment,439.8,1,1,18,18,3,Unfurnished,0,1,0,0,4.98,6.65,3744000,1.0,1.0,439.8,2,1,0,Recent
Pune,Hinjewadi,Villa,1307.4,2,1,0,13,28,Semi-Furnished,1,1,0,1,5.29,4.74,12012000,0.0,0.5,653.7,3,3,1,Old
Nagpur,Besa,Plot,1977.4,0,0,0,0,0,Unfurnished,0,0,0,0,7.57,7.61,6512000,0.0,0.0,1977.4,0,0,1,New
Pune,Wagholi,Apartment,2017.0,3,2,0,10,22,Unfurnished,2,0,0,1,4.66,7.78,12109000,0.0,0.6666666666666666,672.3333333333334,5,2,1,Old
Pune,Wakad,Apartment,2464.4,4,3,0,1,2,Furnished,0,1,0,0,5.34,8.24,26127000,0.0,0.75,616.1,7,1,1,New
Pune,Hinjewadi,Apartment,1042.9,2,2,9,11,1,Semi-Furnished,1,0,0,1,5.62,4.16,8458000,0.8181818181818182,1.0,521.45,4,2,0,New
Pune,Wakad,Apartment,1311.8,3,2,1,1,1,Semi-Furnished,0,0,0,0,7.77,6.71,14376000,1.0,0.6666666666666666,437.26666666666665,5,0,0,New
Mumbai,Chembur,Villa,459.2,1,1,22,25,0,Unfurnished,1,0,0,0,7.46,9.94,13521000,0.88,1.0,459.2,2,1,0,New
Mumbai,Goregaon,Apartment,1076.0,2,1,0,15,8,Unfurnished,1,0,0,1,6.96,10.0,25647000,0.0,0.5,538.0,3,2,1,Established
Nagpur,Manish Nagar,Villa,1724.8,4,4,0,8,31,Semi-Furnished,1,0,1,1,5.35,3.7,8823000,0.0,1.0,431.2,8,3,1,Old
Pune,Hinjewadi,Apartment,1448.8,3,2,0,11,4,Furnished,1,0,1,0,7.1,4.37,14357000,0.0,0.6666666666666666,482.93333333333334,5,2,1,Recent
Pune,Wakad,Apartment,1369.0,2,2,7,15,0,Semi-Furnished,2,1,0,0,4.42,5.23,13700000,0.4666666666666667,1.0,684.5,4,2,0,New
Nagpur,Civil Lines,Apartment,1876.0,3,3,0,10,13,Semi-Furnished,2,1,1,1,4.8,4.75,19570000,0.0,1.0,625.3333333333334,6,4,1,Established
Mumbai,Bandra West,Apartment,1432.0,2,1,3,5,10,Furnished,0,0,0,1,7.92,2.83,69047000,0.6,0.5,716.0,3,1,0,Established
Mumbai,Malad,Apartment,2056.2,4,3,10,24,19,Unfurnished,1,0,0,1,4.94,8.26,30385000,0.4166666666666667,0.75,514.05,7,2,0,Old
Pune,Hinjewadi,Apartment,1940.2,3,2,4,7,7,Semi-Furnished,1,0,0,0,5.32,5.7,17920000,0.5714285714285714,0.6666666666666666,646.7333333333333,5,1,0,Recent
Mumbai,Bandra West,Apartment,1172.6,2,2,4,10,9,Semi-Furnished,1,1,0,1,3.89,6.64,51779000,0.4,1.0,586.3,4,3,0,Established
Pune,Baner,Apartment,1905.3,3,3,3,6,4,Unfurnished,1,1,0,1,5.86,4.2,25057000,0.5,1.0,635.1,6,3,0,Recent
Pune,Wagholi,Apartment,1169.2,2,2,5,15,2,Unfurnished,0,1,0,0,5.38,6.53,6845000,0.3333333333333333,1.0,584.6,4,1,0,New
Nagpur,Civil Lines,Apartment,1134.3,2,2,9,13,11,Furnished,1,1,1,1,6.73,8.0,12851000,0.6923076923076923,1.0,567.15,4,4,0,Established
Pune,Wagholi,Apartment,1018.4,2,2,2,6,2,Unfurnished,0,0,0,1,7.96,9.85,6701000,0.3333333333333333,1.0,509.2,4,1,0,New
Nagpur,Kalmna,Apartment,342.9,1,1,1,1,10,Semi-Furnished,2,1,0,1,5.04,4.7,1120000,1.0,1.0,342.9,2,3,0,Established
Pune,Baner,Apartment,555.6,1,1,5,16,2,Furnished,0,1,0,1,4.38,5.93,7108000,0.3125,1.0,555.6,2,2,0,New
Mumbai,Mira Road,Plot,2372.9,0,0,0,0,0,Unfurnished,0,0,0,0,4.94,3.32,15629000,0.0,0.0,2372.9,0,0,1,New
Nagpur,Kalmna,Apartment,1934.8,3,3,3,3,8,Unfurnished,0,0,0,0,5.92,5.7,5194000,1.0,1.0,644.9333333333333,6,0,0,Established
Nagpur,Wardha Road,Apartment,992.4,2,2,2,6,3,Semi-Furnished,1,0,0,1,6.62,7.52,6671000,0.3333333333333333,1.0,496.2,4,2,0,Recent
Nagpur,Manish Nagar,Apartment,828.5,2,2,11,15,3,Semi-Furnished,1,0,0,0,6.87,2.26,3695000,0.7333333333333333,1.0,414.25,4,1,0,Recent
Mumbai,Chembur,Apartment,1206.9,2,2,2,19,15,Unfurnished,1,0,0,1,5.71,3.32,24054000,0.10526315789473684,1.0,603.45,4,2,0,Established
Pune,Wagholi,Apartment,890.4,2,1,5,8,8,Furnished,1,0,0,1,8.34,6.18,4804000,0.625,0.5,445.2,3,2,0,Established
Mumbai,Mira Road,Apartment,1007.8,2,2,0,4,3,Unfurnished,1,0,0,0,3.36,6.83,10915000,0.0,1.0,503.9,4,1,1,Recent
Nagpur,Dharampeth,Apartment,872.7,2,1,13,13,20,Unfurnished,2,0,0,0,9.47,9.44,7325000,1.0,0.5,436.35,3,1,0,Old
Mumbai,Chembur,Villa,950.6,2,1,7,15,19,Semi-Furnished,1,1,0,1,4.79,5.72,27955000,0.4666666666666667,0.5,475.3,3,3,0,Old
Pune,Baner,Apartment,2246.7,3,3,9,13,11,Unfurnished,2,0,0,0,6.17,4.8,25826000,0.6923076923076923,1.0,748.9,6,1,0,Established
Mumbai,Powai,Plot,2454.1,0,0,0,0,0,Unfurnished,1,0,0,0,5.78,1.0,45649000,0.0,0.0,2454.1,0,1,1,New
Pune,Baner,Apartment,439.7,1,1,2,2,21,Furnished,1,1,0,1,6.63,5.07,5361000,1.0,1.0,439.7,2,3,0,Old
Pune,Baner,Villa,1445.6,3,2,1,16,3,Semi-Furnished,1,1,1,1,4.64,3.74,21300000,0.0625,0.6666666666666666,481.8666666666666,5,4,0,Recent
Mumbai,Malad,Plot,1597.9,0,0,0,0,0,Unfurnished,0,0,0,0,5.1,4.69,17676000,0.0,0.0,1597.9,0,0,1,New
Nagpur,Hingna,Apartment,1250.9,2,1,8,8,7,Semi-Furnished,2,1,0,1,4.1,6.51,6059000,1.0,0.5,625.45,3,3,0,Recent
Nagpur,Kalmna,Apartment,2298.5,4,3,7,13,0,Semi-Furnished,2,0,0,1,4.91,8.73,7318000,0.5384615384615384,0.75,574.625,7,2,0,New
